id,user_id,onboarding_goal,created_at,updated_at,views
340,300,innovators-[collaborate],2024-04-05,2024-04-05,10
341,400,be_discovered-[hire],2024-04-06,2024-04-06,20
342,500,be_discovered-[hire],2024-04-07,2024-04-07,30
343,600,be_discovered-[hire],2024-04-08,2024-04-08,40
344,700,be_discovered-[hire],2024-04-09,2024-04-09,30
345,800,target_networking,2024-04-10,2024-04-10,50
346,2000,innovators-[collaborate],2024-04-11,2024-04-11,59
347,1000,innovators-[collaborate],2024-04-12,2024-04-12,59
348,3000,target_networking,2024-04-13,2024-04-13,199
349,600,innovators-[collaborate],2024-04-14,2024-04-14,100
350,900,be_discovered-[hire],2024-04-15,2024-04-15,200
351,3000,be_discovered-[hire],2024-04-16,2024-04-16,300
352,1000,be_discovered-[hire],2024-04-17,2024-04-17,20
353,3000,target_exhibitions,2024-04-18,2024-04-18,10
354,3000,be_discovered-[hire],2024-04-19,2024-04-19,70
355,2000,be_discovered-[hire],2024-04-20,2024-04-20,1
356,300,be_discovered-[hire],2024-04-21,2024-04-21,200
357,800,be_discovered-[collaborate],2024-04-22,2024-04-22,190
358,700,innovators-[collaborate],2024-04-23,2024-04-23,200
359,400,be_discovered-[collaborate],2024-04-24,2024-04-24,500
